Project,Component,Version,Location
Model Onboarding,acumos-java-client,5.0.1,`Nexus <https://nexus.acumos.org/#nexus-search;quick~acumos-java-client>`_
Model Onboarding,acumos-python-client,1.0.0,`Python Client <https://pypi.org/project/acumos/>`_
